ID;LABEL
1;Albacete
2;Alicante
3;Almería
4;Álava
5;Asturias
6;Ávila
7;Badajoz
8;Baleares
9;Barcelona
10;Vizcaya
11;Burgos
12;Cáceres
13;Cádiz
14;Cantabria
15;Castellón
16;Ciudad Real
17;Córdoba
18;Coruña
19;Cuenca
20;Guipúzcoa
21;Gerona
22;Granada
23;Guadalajara
24;Huelva
25;Huesca
26;Jaén
27;León
28;Lérida
29;Lugo
30;Madrid
31;Málaga
32;Murcia
33;Navarra
34;Orense
35;Palencia
36;Las Palmas
37;Pontevedra
38;La Rioja
39;Salamanca
40;S.C.Tenerife
41;Segovia
42;Sevilla
43;Soria
44;Tarragona
45;Teruel
46;Toledo
47;Valencia
48;Valladolid
49;Zamora
50;Zaragoza
51;Ceuta
52;Melilla
